experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
sf_scaling,Q6,8.0,32,32,SQ,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",0.68828,0.08175,0.01492,0.00103,0.70309,0.08246,0.1173,5,1.49901,2.132,True
sf_scaling,Q6,8.0,32,32,SDQA,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",0.0,0.0,1.49901,0.12251,1.49901,0.12251,0.0817,5,1.49901,1.0,True
sf_scaling,Q6,16.0,32,32,SQ,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",1.28388,0.04035,0.02677,0.00172,1.31066,0.04135,0.0316,5,3.33052,2.5411,True
sf_scaling,Q6,16.0,32,32,SDQA,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",0.0,0.0,3.33052,0.15102,3.33052,0.15102,0.0453,5,3.33052,1.0,True
sf_scaling,Q7,1.0,32,32,(none),"opt_presort=on,opt_cumsum=on",0.75268,0.0286,0.00184,4e-05,0.75447,0.0286,0.0379,5,1.02246,1.3552,True
sf_scaling,Q7,1.0,32,32,NYG,"opt_presort=on,opt_cumsum=on",0.0,0.0,1.02246,0.02902,1.02246,0.02902,0.0284,5,1.02246,1.0,True
sf_scaling,Q7,2.0,32,32,(none),"opt_presort=on,opt_cumsum=on",1.44748,0.02015,0.00218,4e-05,1.44965,0.02017,0.0139,5,1.98101,1.3665,True
sf_scaling,Q7,2.0,32,32,NYG,"opt_presort=on,opt_cumsum=on",0.0,0.0,1.98101,0.05075,1.98101,0.05075,0.0256,5,1.98101,1.0,True
sf_scaling,Q7,4.0,32,32,(none),"opt_presort=on,opt_cumsum=on",3.16621,0.07226,0.00295,6e-05,3.16925,0.07226,0.0228,5,3.54265,1.1178,True
sf_scaling,Q7,4.0,32,32,NYG,"opt_presort=on,opt_cumsum=on",0.0,0.0,3.54265,0.12814,3.54265,0.12814,0.0362,5,3.54265,1.0,True
sf_scaling,Q7,8.0,32,32,(none),"opt_presort=on,opt_cumsum=on",6.16303,0.04086,0.00441,0.00032,6.16803,0.04075,0.0066,5,3.04768,0.4941,True
sf_scaling,Q7,8.0,32,32,NYG,"opt_presort=on,opt_cumsum=on",0.0,0.0,3.04768,0.10021,3.04768,0.10021,0.0329,5,3.04768,1.0,True
sf_scaling,Q7,16.0,32,32,(none),"opt_presort=on,opt_cumsum=on",12.62053,0.18145,0.00708,0.00024,12.62755,0.18138,0.0144,5,8.7223,0.6907,True
sf_scaling,Q7,16.0,32,32,NYG,"opt_presort=on,opt_cumsum=on",0.0,0.0,8.7223,1.66322,8.7223,1.66322,0.1907,5,8.7223,1.0,True
sf_scaling,Q9,1.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",1.08584,0.0852,0.01379,0.00169,1.10091,0.08621,0.0783,5,3.09738,2.8135,True
