experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
n_scaling,Q11,1.0,512,512,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,2.54118,0.04475,2.54118,0.04475,0.0176,5,2.97793,1.1719,True
n_scaling,Q11,1.0,512,512,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,23.71812,0.04368,23.71812,0.04368,0.0018,5,2.97793,0.1256,True
n_scaling,Q11,1.0,512,512,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,2.97793,0.03065,2.97793,0.03065,0.0103,5,2.97793,1.0,True
n_scaling,Q11,1.0,1024,1024,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02552,0.00217,0.09827,0.01671,0.12604,0.01641,0.1302,5,5.91611,46.9391,True
n_scaling,Q11,1.0,1024,1024,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,5.10816,0.16366,5.10816,0.16366,0.032,5,5.91611,1.1582,True
n_scaling,Q11,1.0,1024,1024,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,47.94943,0.17813,47.94943,0.17813,0.0037,5,5.91611,0.1234,True
n_scaling,Q11,1.0,1024,1024,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,5.91611,0.05015,5.91611,0.05015,0.0085,5,5.91611,1.0,True
n_scaling,Q11,1.0,2048,2048,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02497,0.00321,0.19452,0.03091,0.2189,0.03387,0.1547,5,12.11882,55.363,True
n_scaling,Q11,1.0,2048,2048,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,10.25031,0.12312,10.25031,0.12312,0.012,5,12.11882,1.1823,True
n_scaling,Q11,1.0,2048,2048,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,98.09423,0.34003,98.09423,0.34003,0.0035,5,12.11882,0.1235,True
n_scaling,Q11,1.0,2048,2048,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,12.11882,0.1641,12.11882,0.1641,0.0135,5,12.11882,1.0,True
n_scaling,Q11,1.0,4096,4096,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02464,0.00177,0.39052,0.06972,0.41516,0.07111,0.1713,5,24.47934,58.9634,True
n_scaling,Q11,1.0,4096,4096,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,21.06377,0.48466,21.06377,0.48466,0.023,5,24.47934,1.1622,True
n_scaling,Q11,1.0,4096,4096,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,204.50931,1.75223,204.50931,1.75223,0.0086,5,24.47934,0.1197,True
n_scaling,Q11,1.0,4096,4096,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,24.47934,0.38293,24.47934,0.38293,0.0156,5,24.47934,1.0,True
